平台	平台类型	网址	网址类型	客户
298棋牌	棋牌	dwz.pg1.net/0krse	链接	阿信
923棋牌	棋牌	dwz.pg1.net/zhf34	链接	阿信
豪门娱乐	彩票	dy986.com/cs.htm	链接	凤凰白
2号站	彩票	eastshunda.cn/?btwaf=19601124	链接	凤凰白
EGB	彩票	egb.com/zh	链接	凤凰白
百川娱乐	彩票	em.cyyule3.com/login.html	链接	凤凰白
鸿宇平台	彩票	em.hyyule1.com/login.html	链接	凤凰白
名人坊娱乐	彩票	em.mrfguoji6.com/login.html	链接	凤凰白
梦之都平台	彩票	em.mzdyule5.com/lines.html	链接	凤凰白
钱冠注册	彩票	em.qbaoyule1.com/lines.html	链接	凤凰白
天狮娱乐	彩票	em.tsyule4.com/lines.html	链接	凤凰白
天易娱乐	彩票	em.ttyule2.com/login.html	链接	凤凰白
星鱼娱乐	彩票	em.xyuyule4.com/login.html	链接	凤凰白
远博2娱乐	彩票	em.yb2yule5.com/login.html	链接	凤凰白
163棋牌	棋牌	empire.jghyqp6543.com/inform/quarter/m_i?ok=mcbwf5ddiwmdq5ltuwnjewmdewc2vuaq%3d%3dgs	链接	阿信
至尊棋牌	棋牌	ezhdyy.com//zhizunshare/1184256/1581930659000?channelcode=001	链接	阿信
恩佐娱乐	彩票	ezjsl.xadljc.com/?s=/webpublic/login	链接	凤凰白
恩佐2娱乐	彩票	ez-k.enzuo22.com/?s=/webpublic/login	链接	凤凰白
365棋牌	棋牌	ff3653.com/365/com.365qp.ios/m.html?sharename=&proxyaccount=202734	链接	阿信
乐天堂娱乐城	彩票	fun183.com/cn/home.htm	链接	凤凰白
未来娱乐	彩票	fwkj51.top/login.html	链接	凤凰白
菲娱国际娱乐城	彩票	fy.872261.com/#/login	链接	凤凰白
万人棋牌	棋牌	general.v6vd6ge9cc2r.com/object/officer/m_i?ok=vscxd4zdiwmdq5ltuwntk5mtcxz25keg%3d%3dit	链接	阿信
公海赌船	彩票	gh8872.com/?a=169055	链接	凤凰白
139精品棋牌	棋牌	gitcloud.cc?code=7145475&channelcode=630015	链接	阿信
公牛国际	彩票	gngj01.com/index.html	链接	凤凰白
赢咖娱乐	彩票	h.kfun222.com/account/login	链接	凤凰白
天辰娱乐	彩票	h.tcssc1.com/account/login	链接	凤凰白
雅星娱乐	彩票	h.yasing01.com/account/login	链接	凤凰白
杏耀娱乐	彩票	haodijinmen.com/#/login	链接	凤凰白
辉煌棋牌	棋牌	hhqp01.cc/qp.html?c=5519509#	链接	阿信
全新游戏	棋牌	hongtugm.com/487834?wechat_analysis_id=6212b8e0-28a7-db27-bd60-4cd7e13e446f	链接	阿信
宏图娱乐	棋牌	hongtugm.com/487834?wechat_analysis_id=d2ed9b47-e1a1-3029-ab86-a02c08604656	链接	阿信
黑桃棋牌	棋牌	ht33.ee?code=dkcl	链接	阿信
黑桃棋牌	棋牌	ht3305.com/m/app.html?code=dkcl	链接	阿信
鸿运国际娱乐城	彩票	hv719.com/#index	链接	凤凰白
华盛娱乐	彩票	hyi680.com/index.jhtml?from=4	链接	凤凰白
恒耀娱乐	彩票	hyyfjj.com/denglu	链接	凤凰白
蓝冠娱乐	彩票	j.lgcoop.com/account/login	链接	凤凰白
京东棋牌	棋牌	jd732.com/dongfang/com.gr-og.ios/index.html?sharename=jd732.com	链接	阿信
京东棋牌	棋牌	jd732.com/dongfang/com.gr-og.ios/m.html?sharename=jd732.com&proxyaccount=	链接	阿信
京东棋牌	棋牌	jd732.com?proxyaccount=18802	链接	阿信
傲世皇朝	彩票	jhc3777.com/account/login	链接	凤凰白
千禧棋牌	棋牌	jiaobanche360.com/t.php?5rdoxj.css	链接	阿信
澳门金沙	彩票	js3a3.com/promotion	链接	凤凰白
凯发娱乐城	彩票	k8ylcm.com/index.html	链接	凤凰白
95棋牌	棋牌	key.paper.z7lm0vq8co5e.com/2016/08/m_i?ok=gnd2v6ejiwmdq5ltuwnzawmdyycnpuzq%3d%3doc	链接	阿信
昆仑娱乐	彩票	klvip1.com/#/login	链接	凤凰白
黑金棋牌	棋牌	kv.waersan.com/?code=4416185&user_id=5825015	链接	阿信
黑金棋牌	棋牌	kv.yakeri.com/?code=4416185&user_id=5825015	链接	阿信
167棋牌	棋牌	ky061.com/167/com.167qp.ios/index.html?proxyaccount=922083	链接	阿信
167棋牌	棋牌	ky061.com/167/com.167qp.ios/index.html?proxyaccount=922956	链接	阿信
167棋牌	棋牌	ky065.com?proxyaccount=922083	链接	阿信
167棋牌	棋牌	ky065.com?proxyaccount=922956	链接	阿信
利澳娱乐城	彩票	la6666.com:8866/?intr=104816	链接	凤凰白
乐天棋牌	棋牌	leqp004.org/?code=7671006	链接	阿信
精品棋牌	棋牌	lideni.com/propage/2895854/100011001/0	链接	阿信
万人棋牌	棋牌	lpehujmagfbg.398hn.com/lpehujmagfbg/n_l?ok=kozg1waziwmdq5ltuwntk5mtcxdw1tbq%3d%3dxu	链接	阿信
全新游戏	棋牌	ls.wwlyx.com/s/eyjncm91cf9pzci6nswiyxbwawqioiixmta5nzi1mtcilcj2axnpdf90exblijoiynjvd3nlciisinjlcxvlc3rfdxjpijoilzq4nzgzncj9	链接	阿信
旭丰在线	彩票	maisuimusic.com/denglu	链接	凤凰白
金牛国际	棋牌	manage.a5nz5mu7bx1k.com/escape/m_i?ok=cibhlsctiwmdq5ltuwnza5ndu5ywtxbq%3d%3dwo	链接	阿信
魔臣娱乐2	彩票	moc288.com/index	链接	凤凰白
慕斯娱乐	彩票	mus666.com/#/pages/login-page	链接	凤凰白
梦想棋牌	棋牌	mxqp888.com/?from=spread_65_11949608_2252	链接	阿信
极品棋牌	棋牌	myapcl.com/propage/2895854/100011001/0	链接	阿信
95棋牌	棋牌	nb9508.com/?code=1420757	链接	阿信
佰威2娱乐	彩票	ncim.ygs953.com/login.html	链接	凤凰白
杏耀娱乐	彩票	njhyinfo.com/#/login	链接	凤凰白
新葡京娱乐场	彩票	pj500007.com/?a=33	链接	凤凰白
彩票	彩票	promo.goodaces.com/?countrycode=cn&lang=zh-cn&utm_source=wgi_1&utm_medium=cpc&utm_campaign=cn-ads&btag=656693_cna_cn1_1	链接	凤凰白
奇迹赌场	彩票	qijiduchang.com/?a=5756	链接	凤凰白
亲朋棋牌	棋牌	qp.hg05.cn/qpcnhg05?cgm2cr.css	链接	阿信
大发棋牌	棋牌	qp09aa.com/?type=4&code=248907	链接	阿信
98棋牌	棋牌	qqyx36.cn/2	链接	阿信
至尊棋牌	棋牌	qrscq.com/29/1582214400/001.html?channelcode=001&recommendid=1184256	链接	阿信
乐天棋牌	棋牌	quarter.sauce.q4hi1jd6lv5x.com/male/quiet/m_i?ok=rldwfsbdiwmdq5ltuwnju3ndyxcgrizw%3d%3dzn	链接	阿信
186棋牌	棋牌	r186.cc/q186.cc/index.html?proxyaccount=592344	链接	阿信
鸿运棋牌	棋牌	rail.x1jw2xi8ze6q.com/2006/05/m_i?ok=ifdgn1adiwmdq5ltuwnjmwmzm4zxhpzg%3d%3diw	链接	阿信
微星棋牌	棋牌	rapid.d1ob9ya1ng6a.com/2015/10/m_i?ok=mfd3hnajiwmdq5ltuwnjk2otq5z251ba%3d%3duu&1581938001	链接	阿信
易购2娱乐	彩票	rr68s.yggm258.com/login.html	链接	凤凰白
姚记棋牌	棋牌	rycf.88903a.com/?code=0drw8y	链接	阿信
三丰棋牌	棋牌	s04zo.cn//?from_gameid=1018986&channelcode=88888	链接	阿信
沙龙会S36	彩票	s36.com/?ag=b1c73	链接	凤凰白
947棋牌	棋牌	seqingsq.com/?from_gameid=425656	链接	阿信
947棋牌	棋牌	seqingsq.com/?from_gameid=425656&channelcode=100000	链接	阿信
元帅娱乐	棋牌	share.ny7i.xyz/1bvsr.html?rd2gh=eyjjaci6odu1oda0mjksinb0ijozlcjyyw5kijoxntgymtgwmjg2fq==	链接	阿信
元帅娱乐	棋牌	share.ny7i.xyz/kjghb.html?xm4km=eyjjaci6odu1oda0mjksinb0ijozlcjyyw5kijoxntgymtgwmjg2fq==	链接	阿信
盛618娱乐城	彩票	sheng618.com/#/zh-cn/index	链接	凤凰白
双赢棋牌	彩票	shuangyapp2.com/download_com.html?i_code=5964774	链接	凤凰白
双赢棋牌	棋牌	soso.bz/nk2mza	链接	阿信
盛兴彩票	彩票	sx388.com/home/alogin.html?att=2023834	链接	凤凰白
波比棋牌	棋牌	t.cn/a6haahwz	链接	阿信
元帅娱乐	棋牌	t.cn/a6hjzk6n	链接	阿信
比特棋牌	棋牌	t.cn/ai3e6jyh	链接	阿信
一木棋牌	棋牌	t.cn/ai3einbj	链接	阿信
花开棋牌	棋牌	t.cn/ai3esnpd	链接	阿信
追光娱乐	棋牌	t.cn/ai3exknz	链接	阿信
阿信棋牌7	棋牌	t.cn/aidyuo38	链接	阿信
阿信棋牌12	棋牌	t.cn/aie4mvlj	链接	阿信
我才是棋牌	棋牌	t.cn/aiuij0ev	链接	阿信
此间棋牌	棋牌	t.cn/aiuijfne	链接	阿信
发条娱乐	棋牌	t.cn/aiuioeih	链接	阿信
推拉棋牌	棋牌	t.cn/aiuiy593	链接	阿信
知否棋牌	棋牌	t.cn/aiuiy9f8	链接	阿信
棋牌大师	棋牌	t.cn/aiuiym68	链接	阿信
我的棋牌	棋牌	t.cn/aiunbsn2	链接	阿信
天博体育	彩票	tbvip2020.com/app/home/1582098172416	链接	凤凰白
天博体育	彩票	tbvip2020.com/register/1582111919251?agent_code=1020	链接	凤凰白
幸运棋牌	棋牌	tctz888.com/thirdframework/download/?sharecode=628337	链接	阿信
全民棋牌	棋牌	tg.aa588123.net/?gameid=1&referralsid=2011757&referralschannel=888	链接	阿信
全民棋牌	棋牌	tg.aa588123.net?gameid=1&referralsid=2011757&referralschannel=888	链接	阿信
大满贯棋牌	棋牌	tg.wokeqiche.cn/wp-news/wp3h63jsf/0rcddaees.html?sign=2d6c2a75283ffda8c9d9abd9cbc9a520&fxm=25658291&channel_id=60009	链接	阿信
祥云娱乐	棋牌	tglab.ink/c3zsct	链接	阿信
大神娱乐	棋牌	tjjdlst.com/dsyl2.html?code=s20gm9d	链接	阿信
同乐城娱乐城	彩票	tlc882509.com/zh/index.htm	链接	凤凰白
天下第一	棋牌	txdyqp.vip?proxyaccount=353535	链接	阿信
苹果棋牌	棋牌	txqpdl.com?proxyaccount=74427	链接	阿信
天悦娱乐	彩票	ty.dtj2505.com/login	链接	凤凰白
太阳城集团	彩票	tycjt080.com/?a=43	链接	凤凰白
金牛国际	棋牌	url.cn/51fvjr8	链接	阿信
阿信棋牌11	棋牌	url.cn/52z276k	链接	阿信
95棋牌	棋牌	url.cn/55lkzed	链接	阿信
千禧棋牌	棋牌	url.cn/5bgtner	链接	阿信
163棋牌	棋牌	url.cn/5dfttwu	链接	阿信
阿信棋牌	棋牌	url.cn/5dke85i	链接	阿信
祥云娱乐	棋牌	url.cn/5jmqucl	链接	阿信
微星棋牌	棋牌	url.cn/5lemybw?1581938001	链接	阿信
鸿运棋牌	棋牌	url.cn/5pekdic	链接	阿信
乐天棋牌	棋牌	url.cn/5qip4ay	链接	阿信
万人棋牌	棋牌	url.cn/5wppkqo	链接	阿信
微星棋牌	棋牌	ux25.onwgag1k.xyz/86113352444	链接	阿信
1彩娱乐	彩票	vip.1cai.co/#/login	链接	凤凰白
多玩娱乐	彩票	vip.dw.ht/#/login	链接	凤凰白
无极，bet365	彩票	vip17.bet365zhongguo8.com/#/index	链接	凤凰白
bet365	彩票	vip365bet365.com/?a=38	链接	凤凰白
澳门威尼斯人	彩票	vns36104.com/?a=44	链接	凤凰白
德赢娱乐城	彩票	vwincn.com/denied?ip=203.90.246.163&locale=hk	链接	凤凰白
盛大棋牌	棋牌	w.url.cn/s/akrsd5d	链接	阿信
全新游戏	棋牌	w.url.cn/s/alfc6p0	链接	阿信
宝石娱乐	棋牌	w.url.cn/s/awmu7ot	链接	阿信
天富娱乐	彩票	w2.9fssc1.com/account/login	链接	凤凰白
富马棋牌	棋牌	weifm78.com/?from_gameid=724487&channelcode=78	链接	阿信
吉祥坊娱乐城	彩票	wellbet218.com/zh-cn/index.php	链接	凤凰白
大神娱乐	棋牌	wew12.gtbs88.com/p1.html?code=s20gm9d	链接	阿信
万人棋牌	棋牌	wrqp779.com/9160870	链接	阿信
无极	彩票	wuji277.com/index.html	链接	凤凰白
无极3	彩票	wuji373.com/login.html	链接	凤凰白
苹果棋牌	棋牌	www-6796.com/com.tengxunqp.ios/m.html?sharename=www-6796.com&proxyaccount=	链接	阿信
天下第一	棋牌	www-txdy.com/?proxyaccount=353535	链接	阿信
辉煌棋牌	棋牌	wy-ws3.haiguer.com/wx/app/proxy-qrcode.html?url=https%3a%2f%2fhhqp01.cc%2fv.html%3fc%3d5519509	链接	阿信
娱乐天地	彩票	x1.jxddcs.com/public/login	链接	凤凰白
新橙游戏	彩票	xc683.com/#/home	链接	凤凰白
波比棋牌	棋牌	xmzhyc.com/?ag=1276056&ch=1276056&t=1581935624	链接	阿信
77棋牌	棋牌	xpa.oxpsyls0.xyz?code=8883425	链接	阿信
公信国际	彩票	xyyl008.com/index/home	链接	凤凰白
恒耀娱乐	彩票	xz.zhhe888.com/fwxz.html#/login	链接	凤凰白
亚博	彩票	yabo324.com/app/mine	链接	凤凰白
澳门银河	彩票	yh889906.com/?a=26	链接	凤凰白
银牛娱乐	棋牌	yinniunb.com/wp-new/dw201904-08/g6nj3scdn.html?fxm=690606&channel_id=21000	链接	阿信
77棋牌	棋牌	yk7.com/?code=8883425	链接	阿信
优库棋牌	棋牌	yk890.com?proxyaccount=37594	链接	阿信
赢咖	彩票	yk-c.hbfmkj.com/home	链接	凤凰白
永利娱乐城	彩票	yl1916.com/?a=36	链接	凤凰白
银猫在线	彩票	ym.yheng088.com/register/8cdf164c8b7f18b2	链接	凤凰白
银牛娱乐	棋牌	ynqp13.com/?fxm=690606&channel_id=21000	链接	阿信
优盈娱乐	彩票	youyingcai.com/auth/signin	链接	凤凰白
元帅娱乐	棋牌	yuanshuai258.luxiaohua.com/s6cdwg.html?qqwi3=eyjjaci6odu1oda0mjksinb0ijozlcjyyw5kijoxntgymtgwmjg2fq==	链接	阿信
盛大棋牌	棋牌	z2jdou.cn/home.html?	链接	阿信
盛大棋牌	棋牌	z2jdou.cn?sharecode=vwlkptqzmduzmszuexblpti$2	链接	阿信
万马棋牌	棋牌	zantmu.cn/?a=uhjmntj2	链接	阿信
我爱28	彩票	like28.com	域名	凤凰白
迈博体育	彩票	myball10.com	域名	凤凰白
万达娱乐	彩票	x1.0594ccm.com	域名	凤凰白
华宇娱乐	彩票	x3.935289.com	域名	凤凰白
信游娱乐	彩票	xinyou08.net	域名	凤凰白
冠军棋牌	棋牌	001.7800115.com	域名	成功棋牌
135棋牌	棋牌	00135.com	域名	阿信
135棋牌	棋牌	00135vip.com	域名	阿信,成功棋牌
大发网址0788	彩票	00435.com	域名	成功彩票
快乐棋牌	棋牌	0072.wang	域名	成功棋牌
008棋牌	棋牌	008.com	域名	阿信
人民棋牌	棋牌	008.net	域名	成功棋牌
008棋牌	棋牌	008qp.com	域名	阿信
bet365棋牌	棋牌	011001000.com	域名	成功棋牌
bet365	棋牌	011g011.com	域名	成功棋牌
钻石棋牌	棋牌	0165668.com	域名	成功棋牌
1号棋牌	棋牌	01678.com	域名	阿信
1号棋牌	棋牌	01678p.com	域名	成功棋牌
大富豪	棋牌	020680.com	域名	成功棋牌
218棋牌	棋牌	0218.com	域名	成功棋牌
033棋牌	棋牌	033qp8.com	域名	成功棋牌
大发网址0061	彩票	040425.com	域名	成功彩票
大发网址0754	彩票	040451.com	域名	成功彩票
宝马棋牌	棋牌	046.com	域名	阿信
欢乐棋牌	棋牌	061292.com	域名	成功棋牌
麒麟棋牌	棋牌	06567.com	域名	阿信
王子棋牌	棋牌	0725e.com	域名	成功棋牌
073棋牌	棋牌	073.com	域名	阿信
073棋牌	棋牌	073281.com	域名	阿信
073棋牌	棋牌	073282.com	域名	阿信
073棋牌	棋牌	073283.com	域名	阿信
开元棋牌	棋牌	077ky.com	域名	成功棋牌
幸运棋牌2	棋牌	07898.com	域名	成功棋牌
辉煌棋牌	棋牌	0805566.cn	域名	成功棋牌
359棋牌	棋牌	08359.com	域名	阿信
华夏棋牌	棋牌	08686.com	域名	阿信
华夏棋牌	棋牌	08686n.com	域名	成功棋牌
大赢家棋牌	棋牌	08820066.com	域名	成功棋牌
大发网址1143	彩票	08tccp.com	域名	成功彩票
77棋牌	棋牌	0900qp.com	域名	阿信
开元棋牌	棋牌	10.cc	域名	成功棋牌
84棋牌	棋牌	103.139.113.227	域名	成功棋牌
一零3棋牌	棋牌	103.com	域名	阿信
103棋牌	棋牌	103.vip	域名	阿信
万利棋牌	棋牌	1078dd.com	域名	成功棋牌
大发网址0705	彩票	1088d.com	域名	成功彩票
108棋牌	棋牌	108qp1.com	域名	成功棋牌
十博娱乐城	彩票	10bo1111.com	域名	凤凰白
769棋牌	棋牌	1111258.cc	域名	成功棋牌
大发网址1019	彩票	111ctx.com	域名	成功彩票
优库棋牌	棋牌	1122818.com	域名	阿信
金沙棋牌	棋牌	11669908.com	域名	成功棋牌
棋牌	棋牌	116qp.com	域名	成功棋牌
1187棋牌	棋牌	1187.com	域名	成功棋牌
精彩棋牌	棋牌	118700002.com	域名	成功棋牌
伟德亚洲娱乐城	彩票	118weide.com	域名	凤凰白
大发网址1145	彩票	11cqcp.com	域名	成功彩票
11棋牌	棋牌	11qp11.com	域名	成功棋牌
吉祥棋牌	棋牌	121537.com	域名	成功棋牌
至尊棋牌	棋牌	12248.com	域名	阿信
